signal de sortie filtré	signal d'origine
-0.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-4.388985	-3.000000
-2.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
3.222031	5.000000
5.611015	7.000000
7.611015	8.000000
8.611015	10.000000
10.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	14.000000
14.000000	14.000000
14.000000	13.000000
13.000000	13.000000
12.388985	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
4.388985	3.000000
2.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-3.222031	-5.000000
-5.611015	-7.000000
-7.611015	-8.000000
-8.611015	-10.000000
-10.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
